abject
horrible
horrid
hot
hurtful
hypocrisy
hypocrite
hysteria
idiot
idiotic
idle
idleness
ignoble
ignorance
ignorant
ill
ill
ill
illegal
illegality
illness
immoral
immorality
impatient
impediment
imperfect
impersonal
impetuous
improper
impulsive
impure
impurity
inability
inaccessible
inadequate
inane
incapable
incompatibility
incompatible
incorrect
indecent
indecision
indecisive
indecisiveness
indefinite
inexact
infamous
inferior
infiltration
infringement
ingratitude
inhibition
inhumane
injurious
injury
insane
insecure
insecurity
insidious
insignificant
instability
instable
insufficient
interference
intervention
invalid
involve
ironic
irony
irrational
irresponsible
lack
lack
lazy
limit
limitation
liquidation
litter
load
loss
lost
loveless
ludicrous
lunatic
mad
madman
madness
maladjusted
maladjustment
manner
manslaughter
mar
matter
mean
meaningless
menace
mess
misbehavior
misfortune
mistake
mistake
misuse
mix
monotonous
monotony
monstrous
mundane
murder
naive
negation
negative
negligence
negligent
nonsense
notorious
nuisance
obnoxious
odd
offensive
ominous
ordeal
outrageous
oversight
painful
particular
peculiar
penalty
perilous
perverse
pervert
pest
petty
pinch
plague
pollution
poor
poor
poor
poor
poor
poverty
precarious
predicament
preposterous
presumptuous
pretentious
primitive
prohibitive
puny
queer
questionable
radical
ragged
rampant
rascal
rash
rat
recalcitrant
reckless
recklessness
redundancy
redundant
refuse
regression
regrettable
rejection
relentless
reprehensible
repugnant
repulsive
resistance
restrict
ridiculous
rigid
rigorous
risky
rotten
roughness
roundabout
rude
ruin
ruin
ruinous
rupture
scoundrel
scum
selfish
serve
severe
severity
shady
shaggy
shameless
shoot
short
shortcoming
sick
sick
sick
sick
sickly
sickness
silly
sin
sin
sinister
skeptical
sketchy
sloth
slothful
slug
sluggish
sly
sorry
sort
sour
spot
stale
static
steal
stick
stigma
stolen
strict
strict
strict
strife
strike
stubborn
study
stuffy
stunt
stupid
stupid
stupid
stupidity
suicide
sunburn
superficial
superficiality
superstition
superstitious
symptom
tedious
temptation
terrible
threat
timid
timidity
tiresome
too
too
touch
touch
touchy
tragic
trauma
treacherous
trick
trouble
troublesome
turmoil
tyranny
ugly
unable
unattractive
unauthentic
unbelievable
unchecked
unclean
unclear
uncouth
undependability
undependable
undesirable
undignified
undue
uneconomical
unemployed
unemployment
unexpectedly
unfair
unfaithful
unfamiliar
unfavorable
unfeeling
unfit
unfortunate
unfortunate
unfriendly
ungrateful
unimportant
unjust
unjustified
unkind
unlucky
unmitigated
unnecessary
unpleasant
unpopular
unpredictable
unprepared
unqualified
unreal
unrealistic
unreliability
unreliable
unrest
unsatisfactory
unscrupulous
unsound
unsoundness
unstable
unsuccessful
unsure
unsureness
untrue
untrustworthy
unwise
unworthy
use
useless
vain
vanity
venom
vice
vicious
vile
violation
violence
violent
void
vulgar
vulnerability
vulnerable
waste
wasteful
wastefulness
weakness
wear
weird
whip
withdrawn
worn
worse
worst
worthless
wound
wound
wretchedness
wrinkle
wrong
wrong
wrongful
wrought
